Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,DC,2010,"9         ",Male,17,Right-Handed,177,28,194,1,Car,10,.562,47,"Football (American)",257,269,789,,1000,1000,27,"Right foot",10,12,"Ring finger",July,Summer,No,No,Pizza/Pasta,"Energy drink",Music,8,6,8,"Yes - dial-up connection","In person",150,450,24,10,0,45,2,35,50,50,20,35,45,45,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Rich,"Musician or singer","Arts, culture, sports"
USA,UT,2010,"9         ",Female,15,Right-Handed,155,23,149,1,Car,5,0.39,.40,Other,631,759,759,,10,5,23,"Same length",86,90,"Ring finger",August,Summer,No,No,"No favorite",Other,Geography,7,10,6,"Yes - broadband connection","Text messaging",30,30,5,1,2,2,3,3,0,1,1,3,3,2,"A lot","Graduate degree",Other,"Freeze time",Happy,Friend,"Wildlife, animals"
USA,MI,2019,"9         ",Female,14,Right-Handed,169,24,182,1,Car,15,0.751,65,Other,950,1000,1000,800,600,600,24,"Same length",8.5,8.4,"Index finger",August,Winter,No,No,Pizza/Pasta,Water,Art,7.5,10-12,5,"Yes - broadband connection","Text messaging",20,80+,7,.5,5.5,4,.2,4,20,20,20,5,0,1,Some,"Graduate degree",Pop,Fly,Happy,"Musician or singer","Wildlife, animals"
USA,MI,2019,"9         ",Female,15,Right-Handed,24.9,25,,2,Bus,,,,Other,,,,,,,,,60,50,"Index finger",March,Summer,No,No,Fruit,Other,Other,3,3,3,"Yes - other",Other,135,167,0,7,1,1,4,8,10,10,"A lot",5,26,30min,Some,Other,"Rap/Hip hop",Invisibility,Rich,Other,"Wildlife, animals"
USA,CO,2010,"9         ",Male,15,Right-Handed,169,27,174,1,Car,10,0.281,43,Baseball/Softball,492,508,241,,551,727,28,"Same length",85,90,"Ring finger",November,Summer,No,No,Meat,Milk,"Physical education",8,8,5,"Yes - broadband connection","Text messaging",100,101,6,1,0,5,10,0,0,3,3,6,0,5,Some,"Some college","Rap/Hip hop","Freeze time",Famous,"Musician or singer","Arts, culture, sports"
USA,WI,2014,"9         ",Male,14,Right-Handed,165,30,164,1,Walk,15,1.126,46,"Martial Arts",604,701,690,674,893,1000,28,"Right foot",10,9,"Index finger",December,Summer,Yes,No,Pizza/Pasta,"Sports drink",Science,6,10,8,"Yes - dial-up connection","Internet chat or instant messaging",20,15,5,1,2,3,4,6,1,1,7,2,0,2,Some,"Some college","Rap/Hip hop","Freeze time",Happy,"Business person","Wildlife, animals"
USA,MI,2018,"9         ",Female,14,Left-Handed,167cm,24cm,161cm,1,Car,25,0.754,58,Dancing,700,900,800,800,900,900,23cm,"Right foot",95mm,85mm,"Index finger",July,Summer,No,No,Salads,Water,Science,6hr,9hrs,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",24,65,5,5,20,10,20,3,10,20,10,5,2,2,"A lot","Graduate degree",Country,Invisibility,Healthy,Relative,"Wildlife, animals"
USA,CA,2019,"9         ",Female,15,Right-Handed,121.9,22,154,2,Car,8,0.498,35,None,102,96,305,487,0,754,22,"Same length",71,71,"Same length",March,Summer,No,No,"No favorite",Water,English,7,10,5,"Yes - other","In person",500,500,8,2,1,5,0,0,0,24,0,3,0,0,None,Other,"Rap/Hip hop","Super strength",Famous,Other,Health
USA,IL,2016,"9         ",Female,15,Right-Handed,170,24,156,1,Car,20,.801,44,Dancing,0,10,10,10,500,1000,26,"Left foot",7,6,"Index finger",October,Winter,Yes,No,Pizza/Pasta,Water,History,7,10,5,"Yes - other","Text messaging",100,100,30,2,60,5,40,0,10,30,20,70,0,3,Some,"Graduate degree",Country,"Freeze time",Rich,"Doctor or nurse",Health
USA,MN,2018,"9         ",Female,14,Left-Handed,162.5,24.1,,2,Bus,130,1.554,49,Dancing,1000,1000,1000,50,0,0,24.1,"Same length",2,1,"Index finger",December,Summer,No,No,Desserts,Water,History,8,6,5,"No internet connection",,0,0,0,0,,,,,,,,,,,,,,,,,
USA,NC,2013,"9         ",Male,13,Right-Handed,162,27,170,1,Car,40,0.37,58,"Football (American)",759,396,941,756,1000,995,25,"Right foot",80,70,"Ring finger",August,Winter,Yes,No,Seafood,"Soft drink (caffeinated)","Mathematics and statistics",7,10,5,"Yes - broadband connection","Text messaging",0,0,8,0,1,4,5,6,0,0,2,5,6,1,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
USA,IL,2016,"9         ",Female,14,Right-Handed,168,22,150,1,Bus,38,0.539,34,Soccer,337,433,294,500,53,583,23,"Left foot",70,70,"Same length",July,Summer,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7,11,8,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,30,6,3,24,60,30,10,20,12,5,20,0,0,"A lot","Graduate degree",Country,,Happy,Relative,Health
USA,CO,2015,"9         ",Female,14,Right-Handed,"174 ",24,64,1,Car,"5 ",.463,44,Other,947,921,1000,968,213,193,24,"Same length",70,80,"Ring finger",October,Fall,No,No,Fruit,Water,Geography,8,11,4,"Yes - other",E-mail,60,70,8,2,10,14,18,0,5,4,8,7,0,4,"A lot","Graduate degree",Country,"Freeze time",Healthy,"Sports person","Wildlife, animals"
USA,GA,2015,"9         ",Female,15,Right-Handed,175,26,169,2,Car,8,.713,47,Baseball/Softball,100,100,100,10,0,100,25,"Right foot",75,75,"Same length",October,Fall,No,No,Fruit,Water,"Physical education",9,12,4,"Yes - broadband connection","Text messaging",50,50,48,0,20,24,72,0,11,10,3,2,5,4,"A lot","Graduate degree",Country,"Freeze time",Happy,"Sports person","Arts, culture, sports"
